
Residuals from Base Run #3 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
3,11/14/06 03:18,1.087000E-001,-1.991000E-001,2.784000E-001,3.127000E-001,3.755000E+000,-1.538000E-003,3.700000E-002,-1.355000E-003,-1.617000E-001,1.060000E-001,-3.342000E-002,-1.412000E-003,2.956000E-003,-3.961000E-001,-9.496000E-003,-8.218000E-005,-4.050000E-003,1.605000E-001
3,11/16/06 04:08,8.542000E+000,-2.449000E-001,1.620000E-001,1.846000E-001,2.714000E+000,3.486000E-003,1.533000E-002,2.115000E-002,7.150000E-002,-7.565000E-002,-2.617000E-002,-3.349000E-004,3.715000E-003,-2.476000E-001,-4.499000E-003,-2.951000E-003,-1.450000E-003,-2.111000E-002
3,11/18/06 04:01,7.113000E+000,-1.364000E-001,9.710000E-002,1.709000E-001,2.111000E+000,3.982000E-003,2.401000E-002,1.377000E-002,1.389000E-002,-2.594000E-001,-1.003000E-002,-6.205000E-005,4.523000E-003,-1.567000E-001,9.130000E-003,-2.621000E-003,-4.270000E-003,-3.135000E-002
3,11/20/06 03:11,9.657000E+000,-1.896000E-001,1.139000E-001,-6.595000E-002,2.636000E+000,-1.013000E-002,1.302000E-002,2.481000E-002,5.718000E-002,-1.022000E-001,-1.201000E-002,-4.443000E-004,5.097000E-003,-2.004000E-001,-5.264000E-003,-2.350000E-003,-4.373000E-003,3.123000E-002
3,11/22/06 03:22,-1.898000E+000,-3.286000E-001,3.352000E-002,-2.903000E-001,1.346000E+000,3.486000E-003,-1.513000E-002,6.419000E-003,5.817000E-002,3.235000E-002,-2.481000E-002,1.868000E-004,-1.490000E-004,-2.120000E-001,9.407000E-003,-4.723000E-005,-4.846000E-003,-1.107000E-001
3,11/26/06 03:04,-4.044000E+000,-1.481000E-001,-2.159000E-002,-1.422000E-001,5.910000E-001,3.673000E-003,-7.863000E-003,-1.908000E-004,-4.141000E-003,3.404000E-002,-1.284000E-002,5.545000E-005,-4.707000E-005,-1.232000E-001,-1.855000E-003,2.197000E-003,-3.712000E-003,4.327000E-002
3,11/28/06 03:01,-1.802000E+000,-6.253000E-002,6.556000E-003,-6.161000E-002,2.019000E-001,7.953000E-003,-3.505000E-003,1.175000E-005,-2.700000E-002,8.574000E-003,-6.596000E-003,3.193000E-004,1.459000E-003,-4.258000E-002,-5.803000E-003,2.634000E-002,-4.147000E-003,2.212000E-001
3,11/30/06 03:08,-6.512000E-001,-4.652000E-002,-2.626000E-002,-1.013000E-002,1.012000E-001,2.087000E-002,-1.596000E-003,7.075000E-004,1.423000E-001,-2.966000E-002,-3.224000E-003,1.422000E-004,2.111000E-003,1.938000E-002,1.016000E-003,-1.168000E-002,8.536000E-004,-1.650000E-001
3,12/02/06 05:11,-6.438000E-001,-1.578000E-001,-8.163000E-002,-7.193000E-002,-1.432000E-002,6.792000E-003,-4.257000E-002,1.275000E-003,8.301000E-002,2.875000E-003,-2.324000E-003,-1.194000E-004,9.790000E-004,1.796000E-002,-2.138000E-003,-3.540000E-005,-1.779000E-003,-1.209000E-001
3,12/04/06 05:21,5.336000E+000,-1.161000E-001,1.205000E-002,-1.396000E-001,9.386000E-002,1.565000E-002,-5.217000E-002,-9.084000E-004,-3.393000E-002,3.258000E-002,-1.012000E-002,-5.835000E-004,1.542000E-004,3.504000E-002,2.470000E-003,6.282000E-003,1.808000E-003,-8.861000E-002
3,03/30/07 00:38,-3.471000E-002,-2.091000E-002,-2.737000E-002,9.015000E-003,-6.173000E-002,-2.743000E-003,1.201000E-002,-7.323000E-004,-2.068000E-002,-2.991000E-003,2.355000E-003,7.634000E-004,-2.442000E-005,3.349000E-002,8.504000E-004,9.868000E-004,-2.593000E-003,8.250000E-002
3,04/01/07 00:30,-1.987000E+000,9.751000E-002,-2.037000E-002,-2.261000E-003,-9.599000E-002,-4.696000E-003,-2.357000E-002,-2.020000E-003,4.921000E-002,1.161000E-002,-1.743000E-003,4.208000E-004,-6.707000E-004,8.228000E-003,-1.741000E-003,1.114000E-003,6.404000E-003,-1.918000E-001
3,04/03/07 00:34,5.309000E-001,1.018000E-001,-3.027000E-002,1.645000E-002,-3.143000E-002,2.767000E-003,-1.373000E-002,-6.186000E-004,1.840000E-002,1.335000E-003,6.540000E-004,-5.552000E-004,3.132000E-005,5.123000E-003,-2.783000E-003,1.465000E-002,1.254000E-004,-1.465000E-001
3,04/05/07 00:24,1.222000E+000,-6.398000E-003,2.229000E-003,6.447000E-002,-1.360000E-001,1.529000E-003,1.459000E-002,4.087000E-003,-9.088000E-003,-6.070000E-003,1.276000E-002,2.338000E-004,6.390000E-004,5.199000E-002,-5.133000E-003,-8.740000E-003,-2.160000E-003,1.683000E-001
3,04/07/07 00:28,-1.892000E+000,1.595000E-002,1.875000E-002,5.169000E-002,-1.813000E-001,1.241000E-003,2.694000E-003,-5.690000E-004,-2.487000E-002,-7.756000E-004,6.241000E-003,1.020000E-003,-1.999000E-004,1.750000E-002,1.527000E-002,1.758000E-002,4.689000E-004,2.563000E-002
3,04/09/07 00:46,8.098000E+000,3.413000E-002,-4.710000E-002,-4.897000E-003,-1.817000E-001,-1.450000E-003,-1.973000E-002,-1.640000E-004,2.075000E-001,4.896000E-004,2.126000E-003,1.803000E-003,1.690000E-003,1.597000E-002,7.853000E-003,2.516000E-003,1.567000E-002,-7.642000E-002
3,04/11/07 00:50,-1.250000E+000,5.246000E-002,-3.439000E-002,1.463000E-002,-4.953000E-002,2.691000E-003,7.643000E-003,-1.745000E-003,-2.326000E-002,-1.227000E-003,2.907000E-003,-5.116000E-004,-1.145000E-004,1.704000E-002,1.367000E-003,2.877000E-003,7.930000E-004,8.601000E-002
3,04/13/07 00:45,-2.923000E+000,-5.308000E-002,-4.579000E-002,7.214000E-002,-9.791000E-002,5.385000E-003,3.239000E-002,-1.780000E-003,-1.486000E-001,-5.568000E-003,6.420000E-003,2.651000E-003,-2.125000E-005,3.121000E-002,1.903000E-003,4.779000E-002,1.855000E-003,1.652000E-001
3,04/15/07 01:15,-3.066000E+000,-4.909000E-002,-2.414000E-002,8.063000E-002,1.437000E-001,4.570000E-003,3.181000E-002,2.127000E-003,-9.445000E-002,-9.388000E-003,4.065000E-003,6.712000E-004,-1.271000E-003,5.312000E-004,1.605000E-002,-2.215000E-003,1.202000E-002,1.246000E-001
3,04/17/07 01:10,-1.879000E+000,-4.102000E-002,-3.718000E-002,2.514000E-002,-7.542000E-002,2.566000E-003,-3.978000E-003,-7.176000E-003,-1.242000E-002,3.384000E-003,4.909000E-003,2.819000E-004,-1.421000E-003,8.720000E-003,-1.069000E-003,2.903000E-003,1.693000E-003,3.795000E-002
3,04/19/07 01:21,-5.153000E+000,1.843000E-002,-3.415000E-002,8.680000E-002,5.143000E-002,-1.827000E-003,3.477000E-002,4.543000E-004,-7.502000E-002,-1.144000E-002,1.243000E-003,9.896000E-005,1.394000E-003,3.649000E-002,7.946000E-002,-4.966000E-003,2.655000E-003,1.638000E-001
3,04/21/07 01:15,-9.091000E-001,4.658000E-002,-3.285000E-002,4.040000E-002,-6.763000E-002,-2.046000E-003,1.228000E-002,-3.580000E-003,-2.807000E-002,-1.767000E-004,4.011000E-003,9.744000E-004,1.586000E-004,1.787000E-003,1.157000E-003,5.181000E-003,1.898000E-003,9.320000E-002
3,04/23/07 01:00,5.093000E-001,8.242000E-002,-1.482000E-002,6.823000E-003,-9.964000E-002,6.503000E-003,-1.113000E-002,-4.224000E-004,1.155000E-002,-4.961000E-004,4.255000E-003,-3.015000E-004,-3.541000E-004,3.258000E-002,8.860000E-004,1.063000E-003,-3.445000E-003,-7.784000E-002
3,04/25/07 01:11,-1.871000E+000,4.826000E-002,-3.868000E-002,5.179000E-002,-5.026000E-002,1.772000E-003,-5.767000E-003,-4.615000E-003,-1.344000E-003,3.676000E-003,1.669000E-003,8.670000E-004,-1.289000E-004,-3.473000E-003,1.359000E-002,1.339000E-002,5.580000E-003,-5.733000E-002
3,04/27/07 01:17,-2.136000E+000,1.690000E-001,6.908000E-002,8.453000E-002,-8.209000E-003,-5.998000E-003,8.723000E-003,-5.568000E-003,-1.645000E-002,3.486000E-003,-1.625000E-003,2.772000E-003,1.504000E-003,-7.287000E-003,3.080000E-002,9.773000E-003,5.262000E-004,9.540000E-002
3,05/01/07 01:31,-4.390000E+000,4.721000E-003,-7.694000E-003,1.552000E-002,-6.326000E-002,-4.228000E-003,-1.489000E-002,3.432000E-004,8.271000E-002,6.222000E-004,2.422000E-003,3.518000E-004,-4.906000E-004,7.849000E-003,-1.339000E-003,-9.050000E-004,-5.017000E-004,-2.210000E-001
3,05/03/07 01:39,8.073000E-001,1.677000E-001,9.224000E-003,4.191000E-002,-3.284000E-002,-3.159000E-004,-3.610000E-004,-9.063000E-004,-1.314000E-002,2.108000E-003,1.743000E-004,1.905000E-004,-7.995000E-004,7.040000E-003,-8.658000E-007,6.399000E-003,-2.607000E-003,7.796000E-002
3,05/05/07 01:33,-7.454000E+000,2.199000E-001,-2.584000E-002,8.771000E-002,-4.753000E-003,1.967000E-004,9.917000E-007,-1.324000E-003,-6.698000E-003,5.768000E-003,4.605000E-003,3.576000E-003,-6.916000E-005,-2.556000E-002,6.437000E-003,1.701000E-002,8.413000E-003,9.664000E-002
3,05/07/07 01:31,8.099000E-001,4.394000E-001,9.106000E-002,1.649000E-001,-3.322000E-002,4.219000E-003,-1.201000E-002,-6.724000E-004,-1.396000E-002,1.326000E-002,2.424000E-003,1.349000E-003,2.187000E-003,-2.549000E-002,4.158000E-003,6.708000E-003,6.632000E-003,3.247000E-001
3,05/09/07 01:25,3.688000E+000,-7.093000E-004,-7.169000E-002,-1.271000E-003,-1.931000E-001,2.091000E-005,-3.007000E-002,-1.360000E-003,5.925000E-002,1.356000E-002,4.290000E-003,6.861000E-004,-6.623000E-004,5.434000E-002,-4.892000E-003,2.478000E-003,-4.495000E-003,-1.945000E-001
