**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.50170,  3.39370,  4.39743,  4.41445,  5.22413,  6.50250,  4.55188,  0.83194,  0.18277,  0.15121
Na,  0.00000,  0.00000,  0.00000,  0.00173,  0.00187,  0.00214,  0.00102,  0.00095,  0.93147,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.03484,  0.03499,  0.05220,  0.02371,  0.01826,  0.76997,  0.00000
Al,  0.01000,  0.00407,  0.00994,  0.23402,  0.23493,  0.36262,  0.16332,  0.12152,  0.74406, 12.15414
Si,  0.00000,  0.00000,  0.00000,  0.50232,  0.50430,  0.77537,  0.34446,  0.26638,  0.77333,  0.00000
P,  0.00508,  0.00000,  0.00389,  0.00390,  0.00507,  0.00610,  0.00413,  0.00164,  0.39627,  0.32261
S,  0.12815,  0.00000,  0.09476,  0.09507,  0.12809,  0.16364,  0.10633,  0.04010,  0.37707,  0.31288
Cl,  0.00631,  0.00000,  0.00683,  0.12504,  0.12530,  0.12580,  0.07154,  0.06102,  0.85291,  9.66666
K,  0.19496,  0.09906,  0.09947,  0.09996,  0.14868,  0.19503,  0.12706,  0.03552,  0.27958,  0.18222
Ca,  0.11313,  0.00000,  0.11361,  0.18453,  0.18502,  0.18520,  0.14168,  0.05894,  0.41602,  0.52102
Ti,  0.00497,  0.00459,  0.00496,  0.01836,  0.01842,  0.01845,  0.01331,  0.00654,  0.49177,  1.31640
V,  0.00056,  0.00017,  0.00043,  0.00050,  0.00050,  0.00056,  0.00046,  0.00010,  0.22274,  0.18331
Mn,  0.00113,  0.00066,  0.00113,  0.00252,  0.00253,  0.00346,  0.00200,  0.00089,  0.44520,  0.78357
Fe,  0.07269,  0.06360,  0.07250,  0.18061,  0.18116,  0.18148,  0.13544,  0.05441,  0.40175,  0.74855
Zn,  0.00659,  0.00205,  0.00253,  0.00254,  0.00398,  0.00660,  0.00343,  0.00148,  0.43284,  0.22527
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00608,  0.00047,  0.00151,  3.22697,  0.00000
Pb,  0.00468,  0.00052,  0.00221,  0.00221,  0.00282,  0.00468,  0.00257,  0.00105,  0.40984,  0.22482
BC,  1.18050,  0.26657,  0.36852,  0.36905,  0.62928,  1.18160,  0.54011,  0.29644,  0.54885,  0.25111

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.08980,  3.74500,  6.85260,  6.89770,  8.32905, 11.02200,  7.38391,  2.13338,  0.28892,  0.41915
Na,  0.14209,  0.11880,  0.11888,  0.11899,  0.14208,  0.15446,  0.13000,  0.01496,  0.11511,  0.10531
Mg,  0.02434,  0.00182,  0.00938,  0.00949,  0.02434,  0.02889,  0.01500,  0.00925,  0.61700,  0.38009
Al,  0.06981,  0.00000,  0.00497,  0.00499,  0.06981,  0.13612,  0.04067,  0.05410,  1.33027,  0.77492
Si,  0.15539,  0.00000,  0.00000,  0.00000,  0.15539,  0.27770,  0.07886,  0.11587,  1.46943,  0.74569
P,  0.00749,  0.00749,  0.00773,  0.00926,  0.00927,  0.00982,  0.00867,  0.00083,  0.09537,  0.11038
S,  0.35128,  0.34003,  0.37089,  0.37126,  0.37772,  0.42052,  0.37689,  0.02435,  0.06459,  0.06930
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.25406,  0.22282,  0.31984,  0.32129,  0.36429,  0.43709,  0.33211,  0.06390,  0.19240,  0.25151
Ca,  0.00000,  0.00000,  0.00000,  0.03635,  0.03644,  0.06351,  0.02439,  0.01958,  0.80263,  0.00000
Ti,  0.00233,  0.00000,  0.00082,  0.00082,  0.00233,  0.00539,  0.00198,  0.00185,  0.93739,  0.79716
V,  0.00015,  0.00015,  0.00038,  0.00039,  0.00043,  0.00055,  0.00036,  0.00011,  0.31146,  0.75851
