
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
5,11/12/06 06:43,2.374500E+000,1.258100E+000,6.453700E-001,3.521000E+000,7.926500E-001
5,11/14/06 03:18,2.634700E+000,8.671900E-001,5.394500E-001,3.798800E+000,3.456200E-001
5,11/16/06 04:08,1.867000E+000,1.490600E+000,8.498900E-001,2.157300E+000,8.195600E-001
5,11/18/06 04:01,1.768700E+000,1.206500E+000,8.495700E-001,2.097400E+000,8.843300E-001
5,11/20/06 03:11,2.331800E+000,2.201400E+000,4.341800E-001,2.969200E+000,6.376200E-001
5,11/22/06 03:22,1.940000E+000,1.337500E+000,1.028000E+000,1.958900E+000,8.314700E-001
5,11/26/06 03:04,9.486900E-001,7.875600E-001,9.342400E-001,1.383500E+000,8.586000E-001
5,11/28/06 03:01,1.116700E-001,1.978600E-001,1.155700E+000,1.056200E+000,1.335600E+000
5,11/30/06 03:08,1.321000E-001,5.111400E-001,1.232900E+000,7.764900E-001,1.874700E+000
5,12/02/06 05:11,4.192700E-001,6.048400E-001,1.060300E+000,3.177800E-001,1.666300E+000
5,12/04/06 05:21,-1.575400E-002,7.072300E-001,1.525100E+000,1.014500E+000,2.255100E+000
5,12/06/06 03:32,-2.000000E-001,1.796300E+000,1.489600E+000,3.559100E+000,2.773300E+000
5,12/08/06 03:28,2.315700E-001,1.305300E+000,1.118900E+000,2.422900E+000,3.059400E+000
5,12/10/06 03:20,3.799300E-001,-2.000000E-001,1.437100E+000,1.194300E+000,2.850400E+000
5,12/12/06 03:18,1.137800E+000,1.385700E+000,1.136200E+000,1.852800E+000,2.260900E+000
5,12/14/06 03:19,8.056600E-001,7.143100E-001,1.179800E+000,1.739600E+000,1.883400E+000
5,12/16/06 03:09,4.523500E-001,3.675200E-001,9.670300E-001,1.712300E+000,1.853600E+000
5,12/18/06 03:10,5.226300E-001,4.609800E-001,9.703900E-001,1.940700E+000,2.302500E+000
5,12/20/06 03:26,1.407600E+000,6.200000E-001,1.278000E+000,1.439200E+000,2.316400E+000
5,12/28/06 03:22,8.473200E-001,3.963300E-001,1.653700E+000,4.125100E-001,2.511600E+000
5,01/03/07 03:07,-2.000000E-001,1.615200E+001,1.870700E-001,5.087900E+000,1.351400E+000
5,01/05/07 02:54,1.805300E-002,2.268900E+001,1.102000E+000,1.012500E+000,2.197400E+000
5,01/07/07 03:09,2.461800E+000,7.037500E+000,6.980100E-001,4.032000E+000,1.732800E+000
5,01/09/07 03:02,1.378100E+000,8.954000E+000,-2.000000E-001,8.119700E+000,2.304200E+000
5,02/14/07 03:01,7.559800E-001,4.108500E-001,9.469700E-001,4.610500E-001,1.077700E+000
5,02/16/07 02:51,9.897600E-001,6.064100E-001,1.047700E+000,1.227700E+000,1.142100E+000
5,02/18/07 02:34,1.020800E+000,3.738400E-001,1.134800E+000,7.513300E-001,6.934600E-001
5,02/20/07 02:37,3.261800E+000,6.654800E-001,8.809800E-001,7.552900E-001,5.048000E-001
5,02/22/07 02:35,1.761900E+000,1.434500E-001,1.074900E+000,6.315900E-001,6.037200E-001
5,02/24/07 02:38,5.789200E-001,2.075700E-001,1.239500E+000,1.150900E+000,1.297900E+000
5,02/26/07 00:46,8.647300E-001,4.476400E-001,8.666900E-001,8.680900E-001,8.561200E-001
5,02/28/07 00:39,8.812900E-001,7.424800E-001,8.879900E-001,8.683100E-001,1.135000E+000
5,03/02/07 00:30,6.642200E-001,5.890200E-001,9.033500E-001,1.056900E+000,9.848400E-001
5,03/04/07 00:54,9.539100E-001,7.966300E-001,6.706000E-001,1.792200E+000,9.304700E-001
5,03/06/07 01:01,1.351600E+000,5.979700E-001,2.980200E-001,3.505500E+000,7.257900E-001
5,03/08/07 00:42,2.202600E+000,6.506400E-001,7.407800E-001,1.929600E+000,4.701700E-001
5,03/10/07 00:43,1.445800E+000,5.588900E-001,6.985800E-001,1.732400E+000,5.016100E-001
5,03/12/07 00:44,1.579800E+000,5.601500E-001,6.564900E-001,1.503400E+000,7.907500E-001
5,03/14/07 00:44,1.607800E+000,6.597000E-001,7.638700E-001,1.156100E+000,6.464700E-001
5,03/16/07 00:42,1.905800E+000,6.177200E-001,1.293500E+000,5.730500E-001,2.596000E-001
5,03/18/07 00:52,1.467500E+000,5.409500E-001,9.100600E-001,5.037800E-001,5.638500E-001
5,03/20/07 00:53,1.602000E+000,5.501000E-001,7.682100E-001,1.023700E+000,5.523500E-001
5,03/22/07 00:46,1.046700E+000,3.466300E-001,6.520500E-001,1.179200E+000,5.363000E-001
5,03/24/07 00:30,1.266100E+000,2.600500E-001,9.026300E-001,8.081500E-001,4.359300E-001
5,03/26/07 01:08,2.404500E+000,9.124000E-002,1.478400E+000,3.150200E-001,-2.000000E-001
5,03/28/07 01:29,6.720900E-001,-3.275000E-002,1.027500E+000,2.981300E-001,6.029200E-001
5,04/15/07 01:15,1.122700E+000,9.093100E-002,7.127700E-001,5.332500E-001,3.752400E-001
5,04/23/07 01:00,5.494900E-001,2.019900E-001,1.008300E+000,1.650000E-001,3.850800E-001
5,04/25/07 01:11,1.143200E+000,1.742700E-001,9.745000E-001,5.168300E-002,1.075900E-001
5,04/27/07 01:17,1.280000E+000,2.088000E-001,1.085300E+000,8.087900E-002,-9.922900E-002
5,04/29/07 01:20,6.304100E-001,8.548800E-002,8.181100E-001,1.245100E-001,1.596100E-001
5,05/01/07 01:31,5.613600E-001,1.316000E-001,1.287000E+000,1.433600E-001,4.298200E-001
5,05/03/07 01:39,3.877000E-001,1.169000E-001,9.304100E-001,7.573200E-002,3.741700E-001
5,05/05/07 01:33,6.159400E-001,4.430600E-001,1.060500E+000,-8.109700E-003,4.814200E-001
5,05/07/07 01:31,9.862900E-001,4.603600E-001,7.580500E-001,-4.169800E-002,8.269700E-002
5,05/09/07 01:25,1.045200E+000,5.184800E-001,1.107000E+000,4.202600E-004,4.733200E-001
5,05/11/07 01:32,2.129900E-001,6.244900E-002,9.369500E-001,1.083000E-001,5.751200E-001
5,05/13/07 01:55,6.246700E-001,3.383700E-002,8.394500E-001,6.499500E-001,2.069800E-001
5,05/15/07 01:51,7.060200E-001,3.798900E-002,1.050300E+000,9.352200E-001,9.921200E-002
5,05/19/07 01:20,4.682100E-001,5.643700E-002,7.039900E-001,2.670600E-001,7.619700E-001
5,09/04/07 01:51,2.179800E+000,-8.930100E-002,1.039400E+000,2.678100E-002,4.548600E-004
5,09/15/07 01:22,1.293900E+000,6.862200E-002,7.230200E-001,-3.421500E-002,2.910300E-001
5,09/21/07 01:54,7.128300E-001,-2.064700E-002,9.939800E-001,3.860000E-002,5.746300E-001
5,09/27/07 01:51,7.206800E-001,1.445000E-001,7.074300E-001,-2.962400E-002,5.560300E-001
5,10/03/07 02:00,8.765300E-001,1.241500E-001,7.491700E-001,7.113400E-003,7.762200E-001
5,10/09/07 02:25,2.490300E+000,-5.283500E-002,1.006200E+000,4.136700E-002,-1.369000E-001
5,10/15/07 04:53,4.755400E-001,-7.109700E-002,8.585100E-001,6.599900E-002,5.189700E-001
5,10/21/07 03:11,3.389500E-001,7.924900E-002,9.768800E-001,1.395800E-001,8.721200E-001
5,10/27/07 03:49,5.673000E-001,-5.695400E-002,1.022700E+000,6.900600E-002,4.871800E-001
5,11/02/07 04:36,2.519300E-001,-4.006800E-002,8.953700E-001,8.664900E-002,9.015200E-001
5,11/08/07 03:53,8.988700E-001,9.717000E-002,9.366300E-001,1.997800E-001,9.084400E-001
5,11/14/07 04:52,1.378000E+000,4.717700E-001,7.987500E-001,5.563700E-001,8.663700E-001
5,11/20/07 05:07,3.501900E-001,5.021800E-002,9.019700E-001,1.781600E-001,9.621500E-001
5,11/26/07 04:17,7.290900E-001,1.632700E-001,9.624300E-001,1.043000E-001,9.522400E-001
5,12/02/07 04:30,4.076100E-001,1.367200E-001,1.029600E+000,3.594300E-002,1.559000E+000
5,12/08/07 04:07,3.935600E-001,2.278700E-001,1.200300E+000,9.527900E-001,1.073300E+000
5,12/14/07 04:26,2.963400E-001,2.471100E-001,1.315800E+000,5.041800E-001,1.842800E+000
5,12/20/07 03:43,2.044300E-001,2.697600E-002,1.237200E+000,2.069400E-001,1.788200E+000
5,12/26/07 03:31,9.518700E-001,5.732100E-001,9.138700E-001,3.957300E+000,2.386500E+000
5,01/01/08 03:23,3.532800E-001,4.320400E-002,2.190400E+000,1.869400E+000,2.102500E+000
5,01/07/08 03:04,1.384700E+000,3.952500E+000,1.370200E+000,1.337900E+000,1.647300E+000
5,01/13/08 03:21,8.089900E-001,2.641100E-001,1.343300E+000,1.023800E+000,1.593200E+000
5,01/19/08 02:55,1.143400E+000,3.946500E+000,1.466900E+000,9.520200E-001,1.437000E+000
5,01/25/08 03:09,2.303300E+000,3.760200E+000,1.628400E+000,8.123700E-001,1.194300E+000
5,01/31/08 03:32,4.040400E-001,7.678400E+000,6.344500E-001,4.363800E+000,1.513300E+000
5,02/06/08 03:36,2.399100E-001,5.573600E-001,9.583200E-001,2.521500E+000,2.168400E+000
5,02/12/08 04:53,1.742100E-001,1.856200E-001,9.776500E-001,7.780300E-001,2.189500E+000
5,02/18/08 02:24,1.000100E+000,9.824900E-001,9.071900E-001,1.488700E+000,1.469200E+000
5,02/24/08 01:52,4.036300E+000,6.935700E+000,-2.000000E-001,5.353400E+000,8.363300E-001
5,03/01/08 02:35,1.245000E+000,1.553200E+000,7.866400E-001,3.053000E+000,1.107700E+000
5,03/07/08 01:56,3.026500E-001,2.516400E-001,1.362700E+000,4.292700E-001,1.026000E+000
5,03/13/08 02:56,1.094600E-001,5.421300E-002,1.366800E+000,3.411500E-001,6.303800E-001
5,03/19/08 02:44,8.421200E-001,5.111200E-001,1.053600E+000,7.715900E-001,4.237700E-001
5,03/25/08 02:28,8.854600E-001,3.040200E-001,1.204500E+000,3.068000E-001,4.126600E-001
5,03/31/08 02:14,4.477400E-001,-2.408000E-002,1.479500E+000,2.219400E-001,7.078600E-001
5,04/06/08 02:31,5.012500E-001,-6.871800E-003,1.183100E+000,8.783300E-001,4.167400E-001
5,04/12/08 01:33,8.219000E-001,5.542400E-001,9.386000E-001,1.006900E+000,5.796400E-001
5,04/18/08 01:50,8.038900E-001,7.675500E-002,1.345900E+000,3.348400E-001,5.222800E-001
5,04/24/08 02:36,1.188300E+000,1.635900E-001,1.049700E+000,2.304900E-001,4.143700E-001
5,04/30/08 02:40,6.469200E-001,-2.000000E-001,1.198600E+000,1.775200E-001,5.779700E-002
5,05/06/08 02:29,4.255200E-001,-1.622000E-001,1.319800E+000,4.647500E-001,6.584800E-001
5,05/12/08 02:19,5.174300E-001,-1.499400E-001,1.224500E+000,1.621700E-001,3.139300E-001
5,05/18/08 02:14,5.590000E-001,-5.525400E-002,1.015200E+000,1.486000E-001,3.596300E-001
5,05/24/08 02:16,6.891100E-002,-1.781400E-003,1.148000E-001,3.424400E-002,3.162800E-002
5,05/30/08 03:25,1.220600E+000,-9.888700E-002,1.592100E+000,1.509900E-001,4.851100E-001
5,06/05/08 03:13,3.973700E-001,-1.435900E-001,1.322300E+000,1.253700E-001,7.686300E-001
5,06/11/08 02:45,6.866700E-001,-1.548800E-001,1.035100E+000,1.039700E-001,7.461400E-001
5,06/17/08 02:36,1.487600E+000,-1.872000E-001,1.095200E+000,1.906100E-001,4.407400E-001
5,06/23/08 02:27,2.329800E+000,7.112700E-002,9.568400E-001,-4.534500E-002,1.397600E+000
5,06/29/08 02:07,2.859900E-001,-9.193700E-002,9.100800E-001,8.949900E-003,1.562900E+000
5,07/05/08 02:15,8.802100E-001,-9.423400E-002,9.499300E-001,-7.791500E-003,1.598200E+000
5,07/11/08 02:27,1.528200E+000,-3.317000E-003,8.952500E-001,-1.914800E-002,2.648200E-001
5,07/17/08 02:29,1.263200E+000,4.689900E-001,1.181300E+000,-1.538100E-001,1.161800E+000
5,07/17/08 02:54,1.105200E+000,4.552900E-002,1.008900E+000,-2.741400E-002,1.238700E+000
5,07/23/08 02:29,6.205700E-001,-1.546800E-001,1.271600E+000,9.874900E-002,7.743600E-001
5,07/29/08 02:43,8.076000E-001,-1.406800E-001,1.190300E+000,3.794500E-003,1.890900E+000
5,08/04/08 02:22,7.779100E-001,-4.602900E-002,1.084500E+000,-2.130000E-002,1.470500E+000
5,08/10/08 01:55,1.014900E+000,1.885800E-001,1.061100E+000,-1.692600E-001,1.984800E+000
5,08/16/08 02:27,3.405700E+000,1.659500E-001,8.681500E-001,-2.000000E-001,1.003600E+000

Factor Contributions (conc. units) from Base Run #5 (Convergent Run)
(Total Variable = mass)

,,,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
5,11/12/06 06:43,2.868871E+000,2.915144E+001,1.063505E+001,5.639234E+001,3.768734E+000
5,11/14/06 03:18,3.183245E+000,2.009366E+001,8.889597E+000,6.084158E+001,1.643285E+000
5,11/16/06 04:08,2.255709E+000,3.453869E+001,1.400534E+001,3.455132E+001,3.896680E+000
5,11/18/06 04:01,2.136943E+000,2.795581E+001,1.400006E+001,3.359196E+001,4.204635E+000
5,11/20/06 03:11,2.817281E+000,5.100864E+001,7.154852E+000,4.755471E+001,3.031628E+000
5,11/22/06 03:22,2.343908E+000,3.099121E+001,1.694041E+001,3.137374E+001,3.953307E+000
5,11/26/06 03:04,1.146207E+000,1.824855E+001,1.539534E+001,2.215814E+001,4.082300E+000
5,11/28/06 03:01,1.349197E-001,4.584614E+000,1.904478E+001,1.691610E+001,6.350244E+000
5,11/30/06 03:08,1.596032E-001,1.184362E+001,2.031696E+001,1.243626E+001,8.913449E+000
5,12/02/06 05:11,5.065620E-001,1.401475E+001,1.747268E+001,5.089564E+000,7.922590E+000
5,12/04/06 05:21,-1.903398E-002,1.638723E+001,2.513212E+001,1.624823E+001,1.072210E+001
