**** Analysis Summary ****

Time of run: ,08/27/15 18:08
Concentration file: ,E:\pmf_fa\TGsH.csv
Uncertainty file: ,E:\pmf_fa\TGsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 24.81000, 39.12000, 66.35000,3318.47000, 100.00 %, 100.00 %
Na,Strong,      2.4,  0.02182,  0.11484,  0.17293,  0.26982,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      5.1,  0.00236,  0.07706,  0.20741,  0.48073,  3.97355, 100.00 %, 100.00 %
Al,Strong,     10.0,  0.11597,  0.49601,  1.54501,  3.31232, 25.99831, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.92929,  3.34939,  8.04936, 72.73362, 100.00 %, 100.00 %
P,Strong,      5.7,  0.00040,  0.01083,  0.01785,  0.02950,  0.12503, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.49190,  0.67161,  0.99580,  1.60796, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.20525,  0.39339,  0.63563,  3.53752, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.79063,  1.04139,  1.57152,  9.75564, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.25619,  0.56981,  1.01478, 18.55965, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.00615,  0.03325,  0.09517,  0.20057,  2.76983, 100.00 %, 100.00 %
V,Strong,      5.2,  0.00052,  0.00156,  0.00277,  0.00426,  0.05313, 100.00 %, 100.00 %
Mn,Strong,      9.7,  0.00202,  0.00640,  0.01486,  0.03145,  0.52763, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.34377,  0.85443,  1.73566, 26.52248, 100.00 %, 100.00 %
Zn,Strong,      9.6,  0.00075,  0.02306,  0.02903,  0.04304,  0.18204, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00678,  0.01390,  0.01937,  0.03256,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      8.2,  0.00886,  0.01270,  0.01601,  0.02108,  0.06076, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.72063,  3.12259,  3.61135,  5.64587, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,14799.8     ,43937.2     ,Yes      ,1700,32.83797
2,14807       ,43912.5     ,Yes      ,2487,32.81951
3,14797.4     ,43950.2     ,Yes      ,2426,32.84768
4,14807       ,43912.1     ,Yes      ,1900,32.81921
5,14784.6     ,44085.2     ,Yes      ,1154,32.94858
6,14784.8     ,44084.4     ,Yes      ,1636,32.94798
7,14785.5     ,44089.6     ,Yes      ,1495,32.95187
8,14807.6     ,43910.7     ,Yes      ,1834,32.81816
9,15345.4     ,47781.6     ,Yes      ,2153,35.71121
10,14805.9     ,43912.8     ,Yes      ,1591,32.81973
11,14796.5     ,43950.8     ,Yes      ,1197,32.84813
12,14826.7     ,43862.2     ,Yes      ,1166,32.78191
13,15349.5     ,47736.4     ,Yes      ,1492,35.67743
14,15509.6     ,39481.4     ,Yes      ,963,29.50777
15,14796.3     ,43932.1     ,Yes      ,1171,32.83416
16,14795.8     ,43946       ,Yes      ,1516,32.84454
17,14796.6     ,43949.8     ,Yes      ,1937,32.84739
18,15347.7     ,47743.3     ,Yes      ,1981,35.68259
19,15346.1     ,47791.3     ,Yes      ,1640,35.71846
20,14807.1     ,43914.2     ,Yes      ,1849,32.82078

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,14.87394,
3,1.78026,20.93432,
4,15.65724,0.05769,22.29457,
5,104.31526,173.02068,89.63302,176.22515,
6,103.27048,171.77754,88.59703,174.96796,0.06280,
7,99.24042,167.30819,84.32431,170.51834,0.83280,0.58227,
8,15.63347,0.08259,22.29406,0.04860,177.00011,175.74058,171.26235,
9,20275.96966,20333.28567,20273.11054,20337.50603,20344.95613,20343.54604,20334.56548,20327.44202,
10,13.13837,0.36370,17.91731,0.65140,164.62442,163.47755,159.09103,0.73470,20337.31875,
11,3.69405,24.68638,0.56212,26.23202,81.58895,80.58170,76.86124,26.30164,20282.62029,21.19135,
12,104.62206,67.80655,124.62454,65.65188,314.32754,312.33620,308.32013,65.34626,20529.71596,74.37415,133.07227,
13,20234.73575,20287.75716,20232.29663,20291.93862,20318.04462,20316.52187,20307.51694,20281.91401,5.32707,20291.75141,20241.94204,20482.52145,
14,43341.15173,43321.68008,43354.35644,43318.90211,43315.04261,43313.20115,43322.06698,43320.29761,59669.73867,43325.77696,43349.57278,43455.85739,59683.57247,
15,5.03338,25.22371,4.17347,26.42297,80.41891,79.76778,78.51545,26.63546,20299.03125,22.14234,3.16069,126.28880,20258.20866,43313.68788,
16,3.77185,25.40691,0.75391,26.96461,79.89381,79.01218,75.70268,27.06293,20280.96699,21.74094,0.18854,134.59478,20240.33737,43347.95976,2.40387,
17,3.01946,23.44970,0.19689,24.97264,85.71961,84.69599,80.43151,25.00035,20275.01123,20.01240,0.28566,131.43262,20234.32433,43358.26775,4.41805,0.44069,
18,20259.68493,20316.33165,20257.04981,20320.52316,20329.28526,20327.80159,20318.83575,20310.50827,3.40676,20320.28501,20266.57507,20511.37419,1.49184,59675.43090,20282.78642,20264.91732,20258.99244,
19,20330.49515,20387.73093,20327.79961,20391.90186,20399.36578,20397.89965,20388.92370,20381.88603,0.94509,20391.85381,20337.32865,20582.77834,4.57895,59716.89948,20353.56715,20335.66788,20329.74551,2.60462,
20,15.62658,0.04750,22.14015,0.01534,175.94152,174.69496,170.22971,0.04272,20333.03812,0.62160,26.05665,66.66127,20287.50584,43318.93385,26.36402,26.80719,24.80540,20316.11540,20387.45261,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00382,7.43395,0.09894,0.24525,0.21551,1.10858,0.77934,0.11397,1.22377,1.82823,0.01534,0.00837,0.03441,0.03296,0.34408,0.34873,0.04530,0.99343,
3                    1,0.00114,0.02479,0.00727,0.03118,0.02618,0.00630,0.04694,0.00206,0.34122,1.01987,0.00821,0.00420,0.02053,0.02446,0.12168,0.06529,0.00628,0.02266,
3                    2,0.00680,8.03208,0.12510,0.41544,0.35662,1.16159,0.53300,0.12073,2.15721,5.24636,0.02859,0.02056,0.09016,0.08876,0.79885,0.57018,0.06951,1.11277,
4                    1,0.00406,7.47415,0.10521,0.27447,0.23965,1.16568,0.77434,0.11527,1.30787,2.28588,0.01658,0.00969,0.04092,0.03900,0.39784,0.39820,0.04727,0.96117,
4                    2,0.00005,0.00123,0.00029,0.00119,0.00105,0.00084,0.00047,0.00007,0.01038,0.03065,0.00019,0.00013,0.00058,0.00065,0.00360,0.00347,0.00049,0.00237,
4                    3,0.00736,8.08149,0.13392,0.45601,0.39030,1.22060,0.53166,0.12208,2.34318,6.05406,0.03215,0.02322,0.10339,0.10247,0.89243,0.64332,0.07381,1.08311,
5                    1,0.02709,44.20494,0.55747,1.54233,1.39953,1.02366,8.60248,0.18023,11.29685,22.04876,0.12474,0.09513,0.38997,0.44250,2.48704,2.20618,0.36532,7.32107,
5                    2,0.04059,81.76925,0.70131,2.77689,2.44474,3.85797,11.13065,0.45775,14.72639,33.69332,0.18679,0.14300,0.61418,0.60518,4.21941,3.60981,0.57971,11.46375,
5                    3,0.01919,42.75235,0.48505,1.24405,1.16276,0.97288,8.79831,0.15694,8.59051,14.11443,0.08717,0.06543,0.25869,0.29202,1.69695,1.74359,0.31441,6.87828,
5                    4,0.04191,81.93964,0.72319,2.87761,2.52808,3.95526,11.11179,0.45966,15.26286,35.67324,0.19473,0.14939,0.64440,0.63658,4.41181,3.75701,0.58480,11.27316,
6                    1,0.02663,44.27971,0.48540,1.53199,1.39408,1.00907,8.22047,0.18233,11.07948,21.76060,0.12452,0.09418,0.38353,0.43650,2.43122,2.15157,0.36603,7.31315,
6                    2,0.03993,81.91951,0.63635,2.76420,2.44013,3.83538,10.57115,0.46477,14.47193,33.39713,0.18675,0.14164,0.60577,0.59834,4.15129,3.52364,0.58116,11.44846,
6                    3,0.01879,42.81561,0.41242,1.23746,1.15905,0.95561,8.37287,0.15949,8.37777,13.86847,0.08769,0.06441,0.25408,0.28752,1.65081,1.68510,0.31518,6.87469,
6                    4,0.04124,82.09243,0.65836,2.86451,2.52341,3.93274,10.55225,0.46681,15.00298,35.37091,0.19459,0.14804,0.63572,0.62952,4.34213,3.66894,0.58610,11.25731,
6                    5,0.00004,0.00768,0.01131,0.00064,0.00062,0.00094,0.01647,0.00028,0.00875,0.00823,0.00011,0.00008,0.00028,0.00024,0.00171,0.00391,0.00016,0.00138,
7                    1,0.02683,44.27076,0.47793,1.53539,1.38976,0.93825,5.46125,0.18637,10.65385,21.93481,0.12329,0.09138,0.37585,0.42849,2.40663,2.06277,0.34354,6.53326,
7                    2,0.04015,81.91188,0.63225,2.77217,2.43964,3.74589,7.40656,0.46939,14.20672,33.65532,0.18545,0.13798,0.59602,0.58989,4.12487,3.39367,0.55267,10.44770,
7                    3,0.01883,42.80469,0.40463,1.23943,1.15315,0.87875,5.52322,0.16264,7.87877,13.98889,0.08623,0.06122,0.24537,0.27836,1.61839,1.57629,0.29268,6.11278,
7                    4,0.04144,82.08535,0.65433,2.87274,2.52328,3.84353,7.39067,0.47137,14.72521,35.63839,0.19334,0.14444,0.62630,0.62149,4.31761,3.53945,0.55810,10.27133,
7                    5,0.00019,0.01011,0.01362,0.00085,0.00177,0.01642,0.50240,0.00029,0.18432,0.01605,0.00050,0.00069,0.00158,0.00150,0.00472,0.03475,0.00106,0.04200,
7                    6,0.00011,0.00029,0.00019,0.00015,0.00090,0.01089,0.37279,0.00021,0.13256,0.00273,0.00031,0.00044,0.00098,0.00105,0.00194,0.01900,0.00094,0.03679,
8                    1,0.00394,7.46814,0.10447,0.26656,0.23637,1.12083,0.78759,0.11380,1.34088,2.26493,0.01669,0.01017,0.04060,0.03746,0.39621,0.40252,0.04746,0.97484,
8                    2,0.00008,0.00095,0.00032,0.00099,0.00145,0.00022,0.00073,0.00011,0.02138,0.03738,0.00038,0.00021,0.00081,0.00143,0.00397,0.00421,0.00054,0.00742,
