
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
5,mass,1.208200E+000,2.317100E+001,1.647900E+001,1.601600E+001,4.754600E+000
5,Na,6.660900E-002,0.000000E+000,1.298400E-001,0.000000E+000,0.000000E+000
5,Mg,3.170100E-002,1.770400E-001,0.000000E+000,2.238700E-001,1.642200E-002
5,Al,2.691600E-002,1.339500E+000,1.654600E-001,1.487100E+000,5.901200E-002
5,Si,9.297700E-002,3.012700E+000,2.146400E-001,3.521600E+000,1.739800E-001
5,P,2.085700E-003,2.317300E-003,6.264200E-004,5.471500E-003,1.368300E-002
5,S,1.250600E-001,3.637100E-009,1.278800E-001,3.882200E-002,4.603300E-001
5,Cl,3.763000E-001,1.548400E-001,0.000000E+000,0.000000E+000,0.000000E+000
5,K,0.000000E+000,3.767000E-001,5.053600E-001,2.497900E-001,2.783300E-001
5,Ca,2.172000E-003,7.858700E-001,1.870100E-001,2.340700E-001,8.263100E-003
5,Ti,4.363200E-004,1.004100E-001,1.610300E-002,7.839900E-002,1.731900E-003
5,V,8.369700E-005,1.698000E-003,8.934800E-004,9.982800E-004,4.243900E-004
5,Mn,3.723100E-005,1.534100E-002,3.966800E-003,1.185500E-002,0.000000E+000
5,Fe,0.000000E+000,9.196600E-001,1.868500E-001,6.481200E-001,1.228900E-002
5,Zn,8.383400E-004,5.926100E-003,2.020800E-002,3.224300E-003,2.840200E-003
5,Br,2.160000E-003,1.874300E-003,9.421500E-003,1.595500E-010,6.160900E-003
5,Pb,1.053900E-003,2.812200E-003,1.213300E-002,1.821700E-003,0.000000E+000
5,BC,0.000000E+000,0.000000E+000,2.723300E+000,4.514800E-001,0.000000E+000

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
5,mass,1.960447E+000,3.759768E+001,2.673912E+001,2.598785E+001,7.714900E+000
5,Na,3.390651E+001,0.000000E+000,6.609349E+001,0.000000E+000,0.000000E+000
5,Mg,7.059837E+000,3.942694E+001,0.000000E+000,4.985603E+001,3.657192E+000
5,Al,8.744674E-001,4.351869E+001,5.375589E+000,4.831403E+001,1.917226E+000
5,Si,1.325233E+000,4.294105E+001,3.059338E+000,5.019458E+001,2.479797E+000
5,P,8.624326E+000,9.581986E+000,2.590234E+000,2.262454E+001,5.657892E+001
5,S,1.662828E+001,4.835978E-007,1.700324E+001,5.161869E+000,6.120661E+001
5,Cl,7.084761E+001,2.915239E+001,0.000000E+000,0.000000E+000,0.000000E+000
5,K,0.000000E+000,2.671290E+001,3.583656E+001,1.771334E+001,1.973720E+001
5,Ca,1.784152E-001,6.455394E+001,1.536161E+001,1.922728E+001,6.787581E-001
5,Ti,2.213921E-001,5.094880E+001,8.170784E+000,3.978025E+001,8.787792E-001
5,V,2.042463E+000,4.143639E+001,2.180364E+001,2.436109E+001,1.035641E+001
5,Mn,1.193300E-001,4.916982E+001,1.271409E+001,3.799676E+001,0.000000E+000
5,Fe,0.000000E+000,5.204879E+001,1.057490E+001,3.668080E+001,6.955044E-001
5,Zn,2.537584E+000,1.793780E+001,6.116789E+001,9.759681E+000,8.597043E+000
5,Br,1.101103E+001,9.554614E+000,4.802795E+001,8.133376E-007,3.140640E+001
5,Pb,5.913876E+000,1.578044E+001,6.808337E+001,1.022232E+001,0.000000E+000
5,BC,0.000000E+000,0.000000E+000,8.577917E+001,1.422083E+001,0.000000E+000

Factor Profiles (% of total variable) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
5,mass,*,*,*,*,*
5,Na,5.513077E+000,0.000000E+000,7.879119E-001,0.000000E+000,0.000000E+000
5,Mg,2.623821E+000,7.640585E-001,0.000000E+000,1.397790E+000,3.453918E-001
5,Al,2.227777E+000,5.780933E+000,1.004066E+000,9.285089E+000,1.241156E+000
5,Si,7.695498E+000,1.300203E+001,1.302506E+000,2.198801E+001,3.659193E+000
5,P,1.726287E-001,1.000086E-002,3.801323E-003,3.416271E-002,2.877845E-001
5,S,1.035093E+001,1.569678E-008,7.760180E-001,2.423951E-001,9.681782E+000
5,Cl,3.114551E+001,6.682491E-001,0.000000E+000,0.000000E+000,0.000000E+000
5,K,0.000000E+000,1.625739E+000,3.066691E+000,1.559628E+000,5.853910E+000
5,Ca,1.797716E-001,3.391610E+000,1.134838E+000,1.461476E+000,1.737917E-001
5,Ti,3.611322E-002,4.333434E-001,9.771831E-002,4.895042E-001,3.642578E-002
5,V,6.927412E-003,7.328126E-003,5.421931E-003,6.233017E-003,8.925882E-003
5,Mn,3.081526E-003,6.620776E-002,2.407185E-002,7.401973E-002,0.000000E+000
5,Fe,0.000000E+000,3.969013E+000,1.133867E+000,4.046703E+000,2.584655E-001
5,Zn,6.938752E-002,2.557550E-002,1.226288E-001,2.013174E-002,5.973583E-002
5,Br,1.787784E-001,8.088990E-003,5.717276E-002,9.961914E-010,1.295777E-001
5,Pb,8.722894E-002,1.213672E-002,7.362704E-002,1.137425E-002,0.000000E+000
5,BC,0.000000E+000,0.000000E+000,1.652588E+001,2.818931E+000,0.000000E+000
