
Residuals from Base Run #5 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
5,11/12/06 06:43,-1.085000E-002,-9.465000E-002,1.090000E-001,-1.790000E-001,1.041000E+000,5.120000E-003,4.454000E-002,-6.927000E-003,-8.304000E-002,3.938000E-001,-2.900000E-002,-3.819000E-005,6.175000E-004,-2.080000E-001,-5.515000E-003,-7.291000E-003,1.149000E-003,3.064000E-001
5,11/14/06 03:18,4.729000E-001,-1.503000E-001,1.552000E-001,-2.940000E-001,1.188000E+000,-3.623000E-003,3.264000E-002,-1.343000E-002,-1.248000E-001,9.358000E-001,-2.724000E-002,-7.583000E-004,3.970000E-003,-8.731000E-002,-2.346000E-003,-1.891000E-003,3.479000E-004,2.186000E-001
5,11/16/06 04:08,1.417000E+000,-1.771000E-001,1.203000E-001,-1.826000E-001,1.118000E+000,5.350000E-003,3.868000E-002,-4.622000E-003,-7.492000E-002,1.734000E-001,-3.812000E-002,-3.469000E-004,1.737000E-003,-2.095000E-001,-3.197000E-003,-8.889000E-003,1.173000E-003,3.150000E-001
5,11/18/06 04:01,1.405000E+000,-5.853000E-002,5.296000E-002,-1.952000E-001,5.662000E-001,5.442000E-003,4.639000E-002,-5.735000E-003,-1.009000E-001,5.081000E-002,-1.805000E-002,1.356000E-005,3.182000E-003,-8.551000E-002,1.041000E-002,-7.733000E-003,-1.816000E-003,1.731000E-001
5,11/20/06 03:11,3.606000E+000,-4.718000E-002,8.651000E-002,-2.670000E-001,1.054000E+000,-1.345000E-002,2.486000E-002,-1.135000E-002,-8.102000E-002,8.376000E-002,-2.113000E-002,-8.654000E-004,4.044000E-003,-1.221000E-001,-1.543000E-003,-5.337000E-004,-1.983000E-003,8.176000E-002
5,11/22/06 03:22,3.423000E-001,-1.478000E-001,4.629000E-002,-1.142000E-001,1.017000E+000,-5.235000E-003,-3.397000E-002,7.118000E-003,8.654000E-002,-3.098000E-002,-2.343000E-002,-3.385000E-004,2.341000E-003,-1.425000E-001,1.212000E-002,1.369000E-002,-4.533000E-003,-2.324000E-001
5,11/26/06 03:04,-1.803000E+000,-5.467000E-002,-1.259000E-002,-3.100000E-002,3.662000E-001,-2.276000E-003,-1.363000E-002,5.490000E-004,1.623000E-002,-1.414000E-003,-1.153000E-002,-2.965000E-004,2.104000E-003,-7.042000E-002,-9.439000E-004,1.146000E-002,-3.766000E-003,-4.147000E-002
5,11/28/06 03:01,1.824000E+000,-5.966000E-003,6.374000E-003,-3.033000E-002,-1.568000E-002,1.943000E-003,-1.333000E-002,4.092000E-005,1.198000E-002,-8.481000E-004,-5.657000E-003,4.003000E-005,3.981000E-003,-4.967000E-003,-6.439000E-003,3.490000E-002,-4.553000E-003,1.170000E-001
5,11/30/06 03:08,-1.843000E+000,4.951000E-002,-5.765000E-003,-2.806000E-002,-1.866000E-001,1.879000E-002,-1.152000E-002,2.985000E-004,6.813000E-002,-8.759000E-003,-5.254000E-003,-9.895000E-005,3.190000E-003,4.255000E-002,-1.050000E-003,-1.114000E-002,1.569000E-003,-3.699000E-002
5,12/02/06 05:11,-2.998000E+000,-1.280000E-002,-4.012000E-002,-2.291000E-002,-4.679000E-002,8.193000E-003,-8.722000E-004,5.532000E-004,1.720000E-002,-2.759000E-003,-3.271000E-003,-2.728000E-004,1.441000E-003,3.394000E-002,-3.831000E-003,-1.292000E-003,-6.183000E-004,9.051000E-002
5,12/04/06 05:21,5.934000E+000,5.567000E-003,5.468000E-002,-3.571000E-002,-1.816000E-003,1.312000E-002,-7.642000E-003,-1.830000E-004,-7.478000E-002,1.335000E-003,-9.612000E-003,-9.563000E-004,2.377000E-003,7.964000E-002,3.032000E-004,1.071000E-002,2.252000E-003,-6.617000E-003
5,12/06/06 03:32,2.843000E+000,-1.788000E-002,9.650000E-002,-3.835000E-001,4.259000E-001,5.197000E-003,2.758000E-002,-2.169000E-003,1.443000E-002,4.866000E-002,-4.146000E-002,4.155000E-004,4.583000E-003,-3.853000E-002,1.821000E-002,-1.379000E-002,-4.436000E-003,-1.799000E-002
5,12/08/06 03:28,-1.000000E+000,-4.708000E-002,1.593000E-002,-2.530000E-001,4.046000E-001,-8.596000E-004,-7.826000E-002,5.998000E-004,1.445000E-001,-2.424000E-002,-1.404000E-002,3.689000E-004,2.109000E-003,3.286000E-002,-4.767000E-003,2.337000E-003,1.180000E-004,-7.495000E-002
5,12/10/06 03:20,3.557000E+000,-1.386000E-001,-4.767000E-002,-8.323000E-002,2.220000E-001,-1.557000E-003,-1.084000E-002,3.015000E-004,5.509000E-001,-1.818000E-003,-5.978000E-003,2.472000E-004,1.292000E-003,1.241000E-003,4.184000E-003,-8.154000E-003,-3.070000E-003,-6.733000E-002
5,12/12/06 03:18,-1.666000E+000,-1.408000E-001,4.831000E-002,-4.784000E-002,1.299000E+000,1.688000E-002,-9.747000E-002,3.056000E-003,3.140000E-001,-1.947000E-002,-3.099000E-002,-6.358000E-004,-4.753000E-004,-9.288000E-002,1.563000E-002,2.363000E-003,2.253000E-003,-2.820000E-001
5,12/14/06 03:19,3.262000E+000,-1.074000E-001,-2.527000E-002,-9.121000E-002,3.120000E-001,-7.413000E-004,-4.090000E-002,8.227000E-004,3.264000E-002,-1.255000E-002,-6.741000E-003,-2.082000E-005,1.070000E-003,1.765000E-002,3.329000E-003,2.783000E-002,-3.164000E-003,-1.475000E-001
5,12/16/06 03:09,8.031000E+000,1.476000E-002,-1.229000E-001,1.046000E-001,-3.206000E-001,1.409000E-002,1.496000E-002,-6.456000E-004,-1.212000E-001,-4.123000E-004,1.044000E-002,-8.068000E-006,4.849000E-004,1.016000E-001,3.200000E-003,1.882000E-002,-1.183000E-003,5.881000E-002
5,12/18/06 03:10,-5.084000E-001,8.499000E-002,-1.041000E-001,-6.610000E-002,-1.766000E-001,7.500000E-003,1.550000E-002,1.121000E-004,-6.932000E-004,-3.413000E-003,1.237000E-002,-2.247000E-004,3.116000E-004,5.668000E-002,-1.525000E-003,-1.346000E-003,1.884000E-003,4.284000E-002
5,12/20/06 03:26,3.264000E+000,-1.377000E-001,-1.437000E-001,-7.707000E-002,9.977000E-002,1.431000E-002,-6.274000E-002,2.060000E-003,1.291000E-002,-1.500000E-002,2.402000E-003,-2.681000E-004,1.186000E-003,6.922000E-002,2.618000E-003,2.041000E-003,2.136000E-003,-1.733000E-001
5,12/28/06 03:22,-1.129000E+000,2.752000E-002,-7.169000E-002,2.095000E-003,-3.270000E-002,2.952000E-003,-1.364000E-001,1.501000E-003,2.043000E-001,-1.370000E-002,-1.033000E-003,-3.949000E-005,9.941000E-005,5.824000E-002,3.299000E-003,4.773000E-003,-1.745000E-003,-4.013000E-001
5,01/03/07 03:07,1.330000E+002,2.959000E-002,-4.097000E-002,-5.262000E+000,-2.263000E+000,3.711000E-002,-5.422000E-003,1.507000E-003,3.324000E-001,-7.051000E-001,1.894000E-001,3.011000E-003,1.278000E-001,2.100000E+000,9.850000E-003,-5.405000E-003,-8.315000E-003,-2.472000E-002
5,01/05/07 02:54,2.128000E+002,-1.037000E-001,-6.771000E-001,-6.214000E+000,1.911000E-001,3.611000E-002,7.361000E-003,1.741000E-002,-2.129000E-001,2.673000E-001,3.904000E-001,1.166000E-002,1.631000E-001,4.766000E+000,-2.931000E-002,-8.589000E-004,-1.827000E-002,7.129000E-002
5,01/07/07 03:09,4.719000E+001,-2.140000E-001,-1.872000E-001,-5.965000E-001,-6.309000E-001,1.777000E-002,-3.445000E-002,2.283000E-002,1.309000E+000,-6.281000E-001,5.489000E-002,7.990000E-004,1.314000E-002,2.094000E-001,1.062000E-001,1.401000E-003,8.787000E-003,-1.155000E-001
5,01/09/07 03:02,9.229000E+001,-2.525000E-002,-4.809000E-001,-2.764000E+000,-1.587000E+000,-1.346000E-002,-3.628000E-003,1.520000E-002,5.154000E-001,-1.042000E+000,1.790000E-001,8.302000E-003,4.625000E-002,1.392000E+000,4.222000E-003,-7.925000E-003,1.666000E-003,-5.393000E-002
5,02/14/07 03:01,8.312000E-001,-4.083000E-002,-5.029000E-002,3.979000E-002,-1.844000E-001,1.968000E-003,5.882000E-003,6.138000E-004,-7.100000E-003,-5.965000E-003,7.450000E-003,8.688000E-004,-6.931000E-004,7.024000E-002,-4.132000E-004,-4.512000E-004,-4.116000E-003,7.967000E-002
5,02/16/07 02:51,-1.378000E+000,-5.758000E-002,-2.097000E-002,-4.096000E-002,-2.189000E-001,8.482000E-004,2.208000E-002,8.963000E-004,1.880000E-004,-2.469000E-003,1.155000E-002,9.148000E-005,-3.926000E-004,5.113000E-002,1.094000E-003,-4.572000E-003,1.137000E-003,7.350000E-002
5,02/18/07 02:34,-4.038000E+000,-5.467000E-002,-6.530000E-002,4.950000E-002,3.096000E-002,1.940000E-003,1.127000E-002,-1.283000E-003,-2.973000E-002,8.628000E-003,4.526000E-003,2.044000E-003,-2.135000E-003,-1.339000E-002,-5.493000E-003,1.162000E-005,-1.940000E-003,2.092000E-001
5,02/20/07 02:37,-1.887000E+000,2.830000E-001,-1.047000E-001,5.234000E-002,4.828000E-002,-4.444000E-003,-1.633000E-002,2.482000E-002,5.508000E-002,-8.734000E-003,3.505000E-003,-7.187000E-004,-1.918000E-003,-1.767000E-002,5.827000E-003,-3.803000E-003,1.642000E-003,-1.320000E-001
