**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.20820,  1.20780,  2.00678,  3.13450,  3.41185,  4.37160,  2.72474,  0.99228,  0.36417,  0.82128
Na,  0.06661,  0.03972,  0.06636,  0.07352,  0.09307,  0.09348,  0.07221,  0.01818,  0.25169,  0.27286
Mg,  0.03170,  0.02176,  0.03175,  0.03375,  0.05433,  0.05446,  0.03866,  0.01172,  0.30320,  0.36976
Al,  0.02692,  0.00000,  0.02683,  0.05913,  0.20923,  0.20976,  0.09585,  0.08673,  0.90485,  3.22218
Si,  0.09298,  0.03196,  0.09270,  0.14593,  0.49829,  0.49959,  0.24394,  0.19135,  0.78441,  2.05799
P,  0.00209,  0.00000,  0.00000,  0.00000,  0.00208,  0.00312,  0.00075,  0.00120,  1.59924,  0.57390
S,  0.12506,  0.00000,  0.03544,  0.04698,  0.12503,  0.18733,  0.07506,  0.05646,  0.75212,  0.45144
Cl,  0.37630,  0.37388,  0.37477,  0.38088,  0.38450,  0.42141,  0.38420,  0.01437,  0.03741,  0.03820
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00002,  0.10203,  0.01512,  0.03228,  2.13487,  0.00000
Ca,  0.00217,  0.00000,  0.00000,  0.00235,  0.09870,  0.09912,  0.03585,  0.04671,  1.30311, 21.50566
Ti,  0.00044,  0.00000,  0.00044,  0.00186,  0.01384,  0.01388,  0.00548,  0.00625,  1.13904, 14.31782
V,  0.00008,  0.00008,  0.00008,  0.00016,  0.00023,  0.00023,  0.00015,  0.00007,  0.45492,  0.82787
Mn,  0.00004,  0.00004,  0.00027,  0.00047,  0.00214,  0.00214,  0.00095,  0.00090,  0.95033, 24.22726
Fe,  0.00000,  0.00000,  0.00351,  0.01440,  0.12186,  0.12219,  0.04743,  0.05574,  1.17527,  0.00000
Zn,  0.00084,  0.00083,  0.00106,  0.00249,  0.00259,  0.00391,  0.00206,  0.00108,  0.52354,  1.28394
Br,  0.00216,  0.00000,  0.00113,  0.00192,  0.00216,  0.00339,  0.00182,  0.00080,  0.43876,  0.36983
Pb,  0.00105,  0.00105,  0.00141,  0.00165,  0.00249,  0.00262,  0.00183,  0.00057,  0.31402,  0.54392
BC,  0.00000,  0.00000,  0.00000,  0.01055,  0.34413,  0.38084,  0.12498,  0.16808,  1.34486,  0.00000

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.17100, 22.61500, 22.67650, 24.38600, 26.83125, 28.53900, 24.58260,  2.13792,  0.08697,  0.09227
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.17704,  0.17064,  0.17121,  0.18276,  0.20240,  0.36216,  0.21492,  0.07496,  0.34881,  0.42343
Al,  1.33950,  1.28910,  1.29248,  1.37095,  1.47695,  2.54000,  1.57996,  0.48763,  0.30863,  0.36404
Si,  3.01270,  2.90520,  2.91368,  3.10475,  3.28415,  5.86280,  3.58573,  1.15209,  0.32130,  0.38241
P,  0.00232,  0.00211,  0.00222,  0.00226,  0.00338,  0.00760,  0.00336,  0.00215,  0.63984,  0.92705
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00257,  0.03684,  0.00306,  0.00841,  2.74970,2313087.38816
Cl,  0.15484,  0.07661,  0.14540,  0.14975,  0.15618,  0.15700,  0.14091,  0.02578,  0.18296,  0.16650
K,  0.37670,  0.36509,  0.36550,  0.37558,  0.39172,  0.44726,  0.38140,  0.01971,  0.05168,  0.05233
Ca,  0.78587,  0.77048,  0.77244,  0.80197,  0.83271,  0.84178,  0.80266,  0.02786,  0.03471,  0.03545
Ti,  0.10041,  0.09753,  0.09777,  0.10487,  0.10928,  0.15469,  0.11208,  0.02177,  0.19427,  0.21685
V,  0.00170,  0.00166,  0.00166,  0.00178,  0.00185,  0.00216,  0.00181,  0.00018,  0.10047,  0.10697
Mn,  0.01534,  0.01495,  0.01500,  0.01612,  0.01721,  0.02296,  0.01707,  0.00302,  0.17677,  0.19667
Fe,  0.91966,  0.89464,  0.89685,  0.96243,  1.00476,  1.33880,  1.01240,  0.16760,  0.16554,  0.18224
Zn,  0.00593,  0.00226,  0.00565,  0.00575,  0.00601,  0.00699,  0.00531,  0.00139,  0.26115,  0.23378
Br,  0.00187,  0.00000,  0.00057,  0.00183,  0.00194,  0.00214,  0.00144,  0.00082,  0.57391,  0.43988
