Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,        104,         50,       1.81
  13,      1.487,        183,         53,       1.03
  16,      2.307,        224,         50,       1.12
  19,      3.313,        446,         60,       1.25
  20,      3.691,        491,         67,       0.89
  24,      5.412,        730,        140,       1.78
  26,      6.399,       3921,        194,       1.56
  29,      8.041,       6595,        346,       1.69
  30,      8.631,       2760,        336,       1.16
  45,      2.696,        511,         50,       1.81
  58,      4.838,        342,        177,       1.27
