Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  11,      1.041,        352,         73,       1.05
  12,      1.254,        246,         75,       1.91
  13,      1.487,       4981,        109,       1.06
  14,      1.740,      21052,        170,       2.76
  15,      2.013,        913,         91,       3.12
  16,      2.307,      37195,        211,       2.59
  17,      2.622,      25028,        209,       3.31
  19,      3.313,     114284,        349,       6.06
  20,      3.691,      73713,        297,       3.69
  22,      4.509,      11386,        208,       1.65
  23,      4.950,        613,        161,       1.84
  24,      5.412,       1509,        170,       1.62
  25,      5.895,       2565,        206,       2.80
  45,      2.696,        513,        117,       2.33
  56,      4.464,       1133,        229,       1.67
