Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    13
  13,      1.487,        208,         70,       1.78
  14,      1.740,        614,         71,       1.32
  16,      2.307,        245,         65,       0.46
  19,      3.313,       2032,         85,       2.39
  20,      3.691,       2444,         96,       1.27
  22,      4.509,        324,        125,       1.36
  23,      4.950,        404,        156,       1.15
  24,      5.412,       1068,        180,       0.57
  26,      6.399,       8978,        253,       2.22
  29,      8.041,       7580,        439,       2.14
  30,      8.631,       2286,        425,       1.14
  45,      2.696,        747,         65,       2.64
  58,      4.838,        414,        233,       2.49
