Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         47,         55,       1.44
  13,      1.487,        294,         58,       1.97
  14,      1.740,         65,         55,       0.73
  19,      3.313,         73,         60,       1.53
  20,      3.691,        197,         69,       1.46
  24,      5.412,        632,        158,       2.10
  26,      6.399,       2479,        212,       2.16
  29,      8.041,       7154,        389,       1.65
  30,      8.631,       2556,        377,       2.12
  45,      2.696,        519,         54,       1.77
  58,      4.838,        538,        200,       1.64
