Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,        200,         65,       1.99
  13,      1.487,        272,         67,       1.11
  14,      1.740,        167,         64,       1.81
  19,      3.313,        133,         70,       0.77
  20,      3.691,        329,         80,       0.56
  24,      5.412,        738,        182,       1.83
  26,      6.399,       2885,        246,       2.56
  29,      8.041,       8844,        452,       2.26
  30,      8.631,       3469,        438,       1.81
  45,      2.696,        658,         63,       1.85
  58,      4.838,        654,        229,       2.12
