Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         71,         53,       1.14
  13,      1.487,        180,         55,       1.38
  14,      1.740,        193,         53,       0.79
  19,      3.313,        302,         60,       1.19
  20,      3.691,        763,         71,       1.63
  24,      5.412,       1216,        148,       2.13
  26,      6.399,       3070,        197,       1.25
  29,      8.041,       6490,        359,       1.06
  30,      8.631,       2920,        348,       1.12
  45,      2.696,        420,         51,       1.48
  58,      4.838,        288,        184,       1.30
