Z	fator de resposta	erro
11	0,000784	0,000038
12	0,001871	0,000073
13	0,00594	0,00014
14	0,01312	0,00027
15	0,02353	0,00046
16	0,03729	0,00067
17	0,05451	0,00088
18	0,0753	0,0011
19	0,0998	0,0013
20	0,1282	0,0016
21	0,1605	0,0021
22	0,1966	0,0051
23	0,2478	0,0046
24	0,2952	0,0053
25	0,3396	0,0065
26	0,3812	0,0063
27	0,3978	0,0065
28	0,4104	0,0065
29	0,4159	0,0062
30	0,4153	0,0058
31	0,4095	0,0054
32	0,3993	0,0051
33	0,3858	0,0049
34	0,3698	0,0050
35	0,3522	0,0051
36	0,3341	0,0052
37	0,3162	0,0052
38	0,2995	0,0051
39	0,2849	0,0050
40	0,2734	0,0052
41	0,2659	0,0064
