Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         86,         65,       1.54
  13,      1.487,        353,         66,       1.48
  14,      1.740,        135,         63,       1.04
  19,      3.313,        199,         67,       0.87
  20,      3.691,        167,         77,       0.62
  24,      5.412,       2051,        177,       1.33
  26,      6.399,       2932,        235,       1.58
  29,      8.041,       7424,        428,       1.60
  30,      8.631,       2221,        415,       1.20
  45,      2.696,        565,         60,       1.92
  58,      4.838,        603,        224,       1.41
