Z	R	Uncert.
29	0,001126	0,000061
30	0,002192	0,000077
31	0,00312	0,00010
32	0,00399	0,00011
33	0,00484	0,00011
34	0,00575	0,00011
35	0,00674	0,00011
36	0,00788	0,00013
37	0,00918	0,00016
38	0,01069	0,00019
39	0,01242	0,00022
40	0,01439	0,00026
41	0,01662	0,00029
42	0,01911	0,00032
43	0,02186	0,00035
44	0,02489	0,00038
45	0,02819	0,00042
46	0,03174	0,00046
47	0,03553	0,00051
48	0,03956	0,00056
49	0,04381	0,00062
50	0,04825	0,00068
51	0,05287	0,00075
52	0,05764	0,00081
53	0,06254	0,00088
54	0,06754	0,00095
55	0,07262	0,00102
56	0,0777	0,0011
57	0,0829	0,0012
58	0,0880	0,0013
59	0,0931	0,0014
60	0,0981	0,0015
61	0,1030	0,0016
62	0,1077	0,0017
63	0,1123	0,0019
64	0,1168	0,0021
65	0,1210	0,0022
66	0,1250	0,0024
67	0,1287	0,0026
68	0,1322	0,0029
69	0,1354	0,0031
70	0,1382	0,0032
71	0,1408	0,0034
72	0,1431	0,0036
73	0,1450	0,0037
74	0,1467	0,0037
75	0,1480	0,0037
76	0,1490	0,0036
77	0,1498	0,0035
78	0,1503	0,0033
79	0,1505	0,0031
80	0,1506	0,0029
81	0,1504	0,0029
82	0,1502	0,0032
83	0,1499	0,0040
