Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        171,         73,       2.37
  13,      1.487,        404,         76,       1.93
  14,      1.740,        917,         80,       1.01
  16,      2.307,       1379,         81,       0.85
  19,      3.313,       6394,        119,       6.39
  20,      3.691,       1325,        102,       1.69
  23,      4.950,        753,        162,       3.58
  24,      5.412,       1694,        196,       1.81
  26,      6.399,       9927,        281,       2.68
  29,      8.041,       9977,        485,       3.11
  30,      8.631,       5461,        471,       1.59
  35,     11.908,       1247,        465,       1.94
  45,      2.696,        837,         72,       1.79
  82,     10.542,       1047,        458,       1.22
