Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         49,         55,       1.45
  13,      1.487,        104,         55,       1.23
  14,      1.740,        106,         53,       0.74
  19,      3.313,         33,         57,       2.17
  20,      3.691,        351,         66,       0.81
  24,      5.412,        493,        147,       3.99
  26,      6.399,       1968,        196,       1.73
  29,      8.041,       6357,        363,       1.33
  30,      8.631,       2334,        353,       1.67
  45,      2.696,        426,         51,       1.96
  58,      4.838,        539,        191,       0.92
