Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    12
  12,      1.254,        122,         65,       1.96
  13,      1.487,        226,         68,       1.19
  14,      1.740,         78,         64,       0.84
  19,      3.313,        101,         69,       0.96
  20,      3.691,         35,         79,       1.13
  24,      5.412,        514,        180,       2.04
  26,      6.399,       2610,        245,       1.97
  29,      8.041,       7773,        449,       1.70
  30,      8.631,       1973,        437,       2.20
  45,      2.696,        402,         69,       1.21
  46,      2.838,        257,         70,       1.55
  58,      4.838,        732,        234,       2.23
