Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,        205,         80,       1.02
  13,      1.487,        263,         79,       1.09
  14,      1.740,        241,         77,       1.38
  19,      3.313,         42,         80,       0.76
  20,      3.691,       1294,         99,       1.54
  24,      5.412,       1293,        207,       2.40
  26,      6.399,       3605,        279,       2.00
  29,      8.041,       8921,        515,       2.53
  30,      8.631,       2318,        501,       1.14
  45,      2.696,        632,         73,       2.37
  58,      4.838,        746,        269,       2.83
