Z	R	Uncert.
11	0,000752	0,000050
12	0,001745	0,000069
13	0,00569	0,00013
14	0,01268	0,00027
15	0,02279	0,00047
16	0,03611	0,00068
17	0,05274	0,00089
18	0,0727	0,0011
19	0,0962	0,0013
20	0,1233	0,0016
21	0,1540	0,0020
22	0,1948	0,0049
23	0,2383	0,0044
24	0,2794	0,0051
25	0,3184	0,0064
26	0,3558	0,0065
27	0,3641	0,0068
28	0,3757	0,0067
29	0,3817	0,0064
30	0,3828	0,0060
31	0,3795	0,0056
32	0,3727	0,0052
33	0,3627	0,0051
34	0,3504	0,0052
35	0,3362	0,0054
36	0,3208	0,0055
37	0,3049	0,0055
38	0,2890	0,0054
39	0,2739	0,0051
40	0,2600	0,0052
41	0,2481	0,0063
