Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         35,         54,       1.95
  13,      1.487,        287,         59,       0.96
  14,      1.740,         94,         55,       1.22
  19,      3.313,        172,         59,       1.03
  20,      3.691,        259,         69,       1.13
  24,      5.412,        830,        152,       1.26
  26,      6.399,       1937,        203,       1.78
  29,      8.041,       6405,        374,       1.96
  30,      8.631,       2169,        363,       0.88
  45,      2.696,        450,         53,       1.64
  58,      4.838,        319,        191,       1.86
