Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,         87,         82,       1.34
  13,      1.487,        328,         83,       1.99
  19,      3.313,        213,         86,       1.48
  20,      3.691,        433,        102,       1.71
  23,      4.950,        259,        194,       1.85
  24,      5.412,       1300,        221,       2.45
  26,      6.399,       5160,        304,       2.17
  29,      8.041,      11809,        570,       2.20
  30,      8.631,       3543,        551,       2.92
  31,      9.243,        453,        539,       1.57
  35,     11.908,       2092,        554,       2.05
  45,      2.696,       1023,         78,       1.99
  56,      4.464,        749,        254,       1.94
  82,     10.542,       1240,        540,       1.65
