Z	fator de resposta	erro
11	0,000860	0,000057
12	0,001978	0,000077
13	0,00635	0,00015
14	0,01409	0,00031
15	0,02532	0,00053
16	0,04015	0,00077
17	0,0587	0,0010
18	0,0811	0,0012
19	0,1074	0,0015
20	0,1378	0,0018
21	0,1723	0,0024
22	0,2111	0,0056
23	0,2632	0,0053
24	0,3118	0,0067
25	0,3574	0,0085
26	0,4005	0,0104
27	0,4093	0,0096
28	0,4215	0,0095
29	0,4266	0,0090
30	0,4256	0,0083
31	0,4194	0,0076
32	0,4088	0,0070
33	0,3948	0,0066
34	0,3783	0,0065
35	0,3602	0,0065
36	0,3414	0,0064
37	0,3228	0,0061
38	0,3053	0,0059
39	0,2899	0,0062
40	0,2773	0,0078
41	0,269	0,011
