Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,         52,         55,       0.60
  13,      1.487,        264,         59,       0.81
  19,      3.313,       1050,         68,       3.98
  20,      3.691,       1308,         80,       2.54
  23,      4.950,        181,        128,       1.17
  24,      5.412,       1091,        146,       1.17
  26,      6.399,       7176,        215,       1.89
  29,      8.041,       7283,        369,       1.44
  30,      8.631,       2770,        356,       1.17
  31,      9.243,        391,        344,       1.47
  35,     11.908,        744,        350,       1.44
  45,      2.696,        624,         54,       1.48
  56,      4.464,        556,        166,       3.31
  82,     10.542,        579,        344,       1.23
