Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        284,         84,       1.39
  13,      1.487,       1351,         93,       1.29
  14,      1.740,       3805,        105,       1.49
  15,      2.013,        135,         83,       1.61
  16,      2.307,       4103,        107,       2.35
  17,      2.622,       8249,        147,       2.34
  19,      3.313,      24719,        188,       3.38
  20,      3.691,      22023,        192,       1.86
  22,      4.509,       1997,        203,       1.65
  23,      4.950,        721,        190,       1.14
  24,      5.412,       1981,        213,       3.33
  25,      5.895,       1586,        246,       2.09
  45,      2.696,        939,        104,       2.11
  56,      4.464,       1131,        267,       1.97
