Z	fator de resposta	erro
29	0,001249	0,000067
30	0,002428	0,000098
31	0,00342	0,00014
32	0,00432	0,00015
33	0,00520	0,00014
34	0,00612	0,00013
35	0,00714	0,00013
36	0,00832	0,00014
37	0,00969	0,00018
38	0,01129	0,00021
39	0,01315	0,00026
40	0,01529	0,00029
41	0,01772	0,00033
42	0,02046	0,00037
43	0,02351	0,00040
44	0,02687	0,00044
45	0,03053	0,00048
46	0,03449	0,00052
47	0,03872	0,00057
48	0,04321	0,00062
49	0,04795	0,00069
50	0,05290	0,00075
51	0,05804	0,00083
52	0,06333	0,00090
53	0,06876	0,00098
54	0,0743	0,0011
55	0,0799	0,0011
56	0,0855	0,0012
57	0,0911	0,0013
58	0,0967	0,0014
59	0,1022	0,0015
60	0,1075	0,0016
61	0,1128	0,0018
62	0,1178	0,0019
63	0,1227	0,0021
64	0,1273	0,0023
65	0,1317	0,0024
66	0,1358	0,0027
67	0,1395	0,0029
68	0,1430	0,0031
69	0,1461	0,0033
70	0,1489	0,0035
71	0,1514	0,0037
72	0,1535	0,0039
73	0,1553	0,0040
74	0,1567	0,0040
75	0,1579	0,0040
76	0,1588	0,0040
77	0,1594	0,0038
78	0,1598	0,0036
79	0,1601	0,0034
80	0,1602	0,0031
81	0,1603	0,0031
82	0,1604	0,0035
83	0,1606	0,0043
