Z	fator de resposta	erro
29	0,001135	0,000036
30	0,002316	0,000075
31	0,00333	0,00011
32	0,00426	0,00012
33	0,00517	0,00012
34	0,00612	0,00011
35	0,00718	0,00011
36	0,00838	0,00013
37	0,00977	0,00016
38	0,01139	0,00020
39	0,01324	0,00023
40	0,01537	0,00027
41	0,01777	0,00030
42	0,02047	0,00034
43	0,02346	0,00037
44	0,02674	0,00040
45	0,03031	0,00044
46	0,03415	0,00048
47	0,03826	0,00053
48	0,04262	0,00058
49	0,04720	0,00064
50	0,05198	0,00070
51	0,05694	0,00076
52	0,06205	0,00082
53	0,06729	0,00089
54	0,07261	0,00096
55	0,0780	0,0010
56	0,0834	0,0011
57	0,0888	0,0012
58	0,0941	0,0013
59	0,0994	0,0014
60	0,1046	0,0015
61	0,1096	0,0016
62	0,1145	0,0018
63	0,1192	0,0019
64	0,1236	0,0021
65	0,1278	0,0023
66	0,1317	0,0025
67	0,1354	0,0027
68	0,1387	0,0030
69	0,1418	0,0032
70	0,1445	0,0034
71	0,1469	0,0036
72	0,1490	0,0037
73	0,1507	0,0038
74	0,1522	0,0039
75	0,1533	0,0039
76	0,1543	0,0038
77	0,1549	0,0037
78	0,1554	0,0035
79	0,1558	0,0032
80	0,1560	0,0030
81	0,1562	0,0030
82	0,1564	0,0034
83	0,1568	0,0042
