Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    12
  12,      1.254,        180,         72,       0.92
  13,      1.487,        407,         77,       0.66
  14,      1.740,        831,         79,       1.28
  16,      2.307,       1022,         77,       1.92
  19,      3.313,       3721,        100,       4.01
  20,      3.691,       3869,        110,       2.18
  24,      5.412,       1256,        195,       1.61
  26,      6.399,      11193,        278,       1.96
  29,      8.041,       9551,        483,       3.06
  30,      8.631,       2075,        461,       2.17
  45,      2.696,       1114,         73,      10.17
  58,      4.838,        732,        245,       2.93
